iPhone Model,Release Date
iPhone,29/06/07
iPhone 3G,11/07/08
iPhone 3GS,19/06/09
iPhone 4,24/06/10
iPhone 4S,14/10/11
iPhone 5,21/09/12
iPhone 5S & 5C,20/09/13
iPhone 6 & 6 Plus,19/09/14
iPhone 6S & 6S Plus,25/09/15
iPhone SE,31/03/16
iPhone 7 & 7 Plus,16/09/16
iPhone 8 & 8 Plus,22/09/17
iPhone X,03/11/17
iPhone XS / XS Max,21/09/18
iPhone XR,26/10/18
iPhone 11,20/09/19
iPhone SE 2,24/04/20
iPhone 12,23/10/20
iPhone 13,24/09/21
iPhone SE 3,18/03/22
iPhone 14,16/09/22
iPhone 15,22/09/23
